Category,CatLongName,ShortName,Comment,Value,MaxCatMarks
Task 1,Best out-of-sample RMSE,One Missing,-1 You should repoprt out-of-sample forecast error (MSE) of three candidate models. You report only two.,-1,2
Task 1,Best out-of-sample RMSE,Two Missing,-1.5 You should repoprt out-of-sample forecast error (MSE) of three candidate models. You report only one.,-1.5,2
Task 1,Best out-of-sample RMSE,All Three Missing,-2 You should repoprt out-of-sample forecast error (MSE) of three candidate models,-2,2
Task 2,"Introduction, business context",Business context needs more info (-3),-3 The discussion on the business context should be more informative.,-3,5
Task 2,"Introduction, business context",Business context needs more info (-2),-2 The discussion on the business context should be more informative.,-2,5
Task 2,"Introduction, business context",Business context needs more info (-1),-1 The discussion on the business context should be more informative.,-1,5
Task 3,Data pre-processing EDA,Check Missing Values (-1),"-1 In the EDA step, it is important to check if there are any missing values in the data. This could help to avoid some potential issues in later steps. You should mention this step in the report.",-1,10
Task 3,Data pre-processing EDA,Handle Missing Values (-0.5),-0.5 It is good that you have discussed if there are any missing values in the data but it also important to mention how did you handle the missing values.,-0.5,10
Task 3,Data pre-processing EDA,Seasonal Period (-1),"-1 It is not clear in the report that how did you set the seasonal period to be xxx. As this is an important information, your choice of a particular value should be more convincing.",-1,10
Task 3,Data pre-processing EDA,Log Transformation Justification Missing (-0.25),-0.25 Justification on applying log transformation to the original time series is not quite convincing,-0.25,10
Task 3,Data pre-processing EDA,Time Series Discussion Uninformative (-0.5),-0.5 Discussion on important properties of the time series is not quite informative and should be more comprehensive.,-0.5,10
Task 3,Data pre-processing EDA,Time Series Properties needs depth (-0.5),"-0.5 In the EDA step, discussion on important properties of the time series should be more in-depth.",-0.5,10
Task 3,Data pre-processing EDA,Time Series Statistics discussion (-1),"-1 In the EDA step, discussion on statistics of the time series should be included as it would help to select good candidate models",-1,10
Task 3,Data pre-processing EDA,Import behaviours from plot (-2),"-2 Given the plot of the time series, a discussion on some important behaviors, e.g. trend, seasonality, etc. should be included in the EDA step.",-2,10
Task 3,Data pre-processing EDA,Descriptive Stats Discussion (-1),"-1 It should be useful to discussion some important descriptive statistics of the dataset, e.g. min, max, skewness, kurtosis, etc.",-1,10
Task 3,Data pre-processing EDA,Discuss Important Stats (-1),-1 Discussion on important properties of the time series is not quite informative and should be more comprehensive. It is useful to use domain knowledge to analyze some behaviors of the time series.,-1,10
Task 3,Data pre-processing EDA,Discuss Stationarity in EDA (-3),-3 The EDA step should discuss the stationarity of the time series as it could help to select the appropreated models for the time series.,-3,10
Task 4,Methodology and forecasting results ,Model Choice (-2),-2 Your explanation on the reason of choosing a particular model is not quite convincing or not carefully discussed. The connection of EDA and model selection steps should be more clear.,-2,40
Task 4,Methodology and forecasting results ,Rescaling for NN (-3),-3 For NN method you have to do normalization and re-scaling step to transform the forecast back to the original scale,-3,40
Task 4,Methodology and forecasting results ,Validaiton Size Justification (-2),-2 Justification on the size of validation set is not well-documented or carefully discussed.,-2,40
